0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:32 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:33 +0900] "GET /RecommedationMovie/getSeenMovies.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:33 +0900] "GET /RecommedationMovie/SeenMovieList.jsp?page=0 HTTP/1.1" 200 7030
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:28:11 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:28:12 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:28:12 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:28:13 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:28:13 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 6795
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:31:37 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:31:38 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:31:38 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:31:40 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:31:40 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 6931
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:32:59 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:33:00 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:33:00 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:33:02 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:33:02 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 7007
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:33:29 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:33:31 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:33:31 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:33:32 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:33:33 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 7011
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:34:45 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:34:46 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:34:46 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:34:49 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:34:49 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 7035
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:35:38 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:35:41 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:35:41 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:35:42 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:35:42 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 6920
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:36:05 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:36:06 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:36:06 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:36:08 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:36:08 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 6929
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:36:31 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:36:31 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:36:31 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:36:33 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:36:33 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 6933
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:36:51 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:36:52 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:36:52 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:36:54 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:36:54 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 7011
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:37:35 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:37:37 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:37:37 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:37:38 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:37:38 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 7023
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:46:20 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:46:21 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:46:21 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:46:22 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:46:23 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 7067
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:47:56 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:47:57 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:47:57 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:47:58 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:47:58 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 7052
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:48:03 +0900] "GET /RecommedationMovie/Rating.jsp?movieCd=curMovieCd HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:48:51 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:48:51 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:48:51 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:48:54 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:48:54 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 7052
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:48:58 +0900] "GET /RecommedationMovie/Rating.jsp?movieCd=curMovieCd HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:48:58 +0900] "GET /RecommedationMovie/... HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:49:43 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:49:45 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:49:45 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:49:46 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:49:46 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 7082
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:49:50 +0900] "GET /RecommedationMovie/Rating.jsp?movieCd= HTTP/1.1" 200 5675
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:49:50 +0900] "GET /RecommedationMovie/... HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:49:53 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:49:54 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:49:54 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:49:54 +0900] "GET /RecommedationMovie/Logout.jsp HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:49:54 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:49:55 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:49:55 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:49:56 +0900] "GET /RecommedationMovie/Login.jsp?STATUS= HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:50:01 +0900] "GET /RecommedationMovie/LoginCheck.jsp?ID=asd&PASSWORD=asd HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:50:01 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:50:03 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:50:03 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
